"filename", "language", "JavaScript", "Markdown", "Vue", "PHP", "XML", "JSON", "SCSS", "comment", "blank", "total"
"c:\Users\Chitambo\Documents\pureJavascript\nuxtjs-crud-with-auth-using-php-api-master\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 32, 70
"c:\Users\Chitambo\Documents\pureJavascript\nuxtjs-crud-with-auth-using-php-api-master\assets\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 1, 5
"c:\Users\Chitambo\Documents\pureJavascript\nuxtjs-crud-with-auth-using-php-api-master\layouts\default.vue", "Vue", 0, 0, 75, 0, 0, 0, 0, 0, 3, 78
"c:\Users\Chitambo\Documents\pureJavascript\nuxtjs-crud-with-auth-using-php-api-master\layouts\error.vue", "Vue", 0, 0, 43, 0, 0, 0, 0, 0, 3, 46
"c:\Users\Chitambo\Documents\pureJavascript\nuxtjs-crud-with-auth-using-php-api-master\middleware\auth.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Chitambo\Documents\pureJavascript\nuxtjs-crud-with-auth-using-php-api-master\middleware\guest.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Chitambo\Documents\pureJavascript\nuxtjs-crud-with-auth-using-php-api-master\nuxt.config.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 13, 12, 78
"c:\Users\Chitambo\Documents\pureJavascript\nuxtjs-crud-with-auth-using-php-api-master\package-lock.json", "JSON", 0, 0, 0, 0, 0, 24756, 0, 0, 1, 24757
"c:\Users\Chitambo\Documents\pureJavascript\nuxtjs-crud-with-auth-using-php-api-master\package.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Chitambo\Documents\pureJavascript\nuxtjs-crud-with-auth-using-php-api-master\pages\Login.vue", "Vue", 0, 0, 62, 0, 0, 0, 0, 0, 2, 64
"c:\Users\Chitambo\Documents\pureJavascript\nuxtjs-crud-with-auth-using-php-api-master\pages\Signup.vue", "Vue", 0, 0, 69, 0, 0, 0, 0, 0, 0, 69
"c:\Users\Chitambo\Documents\pureJavascript\nuxtjs-crud-with-auth-using-php-api-master\pages\banks\_banksid.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
